# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.08%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ull                        [.] strlen                                     9                 
     0.08%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] num_to_str                                 5                 
     0.08%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] memcpy                                     3                 
     0.08%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ll                         [.] do_task_stat                               14                
     0.08%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ll                         [.] strlen                                     10                
     0.08%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] timespec64_add_safe                        8                 
     0.08%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] select_estimate_accuracy                   14                
     0.08%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] _raw_spin_lock_irqsave                     12                
     0.08%  redis-server  [kernel.kallsyms]     [k] lockref_get_not_dead                       [k] legitimize_path.isra.29                    21                
     0.08%  redis-server  [kernel.kallsyms]     [k] find_first_bit                             [k] intel_pmu_handle_irq                       3                 
     0.08%  redis-server  [kernel.kallsyms]     [k] put_dec_trunc8                             [k] put_dec                                    8                 
     0.08%  redis-server  [kernel.kallsyms]     [k] put_dec_full8                              [k] put_dec                                    26                
     0.08%  redis-server  [kernel.kallsyms]     [k] put_dec                                    [k] put_dec_full8                              8                 
     0.08%  redis-server  [kernel.kallsyms]     [k] put_dec                                    [k] put_dec_full8                              4                 
     0.08%  redis-server  [kernel.kallsyms]     [k] num_to_str                                 [k] seq_put_decimal_ull                        69                
     0.08%  redis-server  [kernel.kallsyms]     [k] memcpy_erms                                [k] perf_output_copy                           25                
